chrom	start	end	meth_score	score_calculation	num_methylated	num_unmethylated	total_samples	meth_proportion	unmeth_proportion	proportion_diff	sample_weight	score_interpretation	methylated_samples	unmethylated_samples	haplotype
chr13	43730737	43731192	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM187	SPM248	H1
chr14	47934361	47934462	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM232	SPM206	H1
chr14	89114705	89114800	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM198	SPM161	H1
chr14	105138861	105139413	-1.160964047443681	"Total Samples: 4
Methylated: 1 (0.250)
Unmethylated: 3 (0.750)
Proportion Difference: -0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: -0.500 × 2.322 = -1.161
Interpretation: Strongly Unmethylated"	1	3	4	0.25	0.75	-0.5	2.321928094887362	Strongly Unmethylated	SPM187	SPM202,SPM206,SPM248	H1
chr15	43287517	43287576	0.5169925001442311	"Total Samples: 5
Methylated: 3 (0.600)
Unmethylated: 2 (0.400)
Proportion Difference: 0.200
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.200 × 2.585 = 0.517
Interpretation: Moderately Methylated"	3	2	5	0.6	0.4	0.19999999999999996	2.584962500721156	Moderately Methylated	SPM198,SPM212,SPM232	SPM187,SPM231	H1
chr16	66402331	66402358	1.5509775004326938	"Total Samples: 5
Methylated: 4 (0.800)
Unmethylated: 1 (0.200)
Proportion Difference: 0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.600 × 2.585 = 1.551
Interpretation: Strongly Methylated"	4	1	5	0.8	0.2	0.6000000000000001	2.584962500721156	Strongly Methylated	SPM161,SPM187,SPM212,SPM276-1	SPM232	H1
chr16	66920986	66921043	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM231	H1
chr16	86279487	86280295	-1.5509775004326938	"Total Samples: 5
Methylated: 1 (0.200)
Unmethylated: 4 (0.800)
Proportion Difference: -0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: -0.600 × 2.585 = -1.551
Interpretation: Strongly Unmethylated"	1	4	5	0.2	0.8	-0.6000000000000001	2.584962500721156	Strongly Unmethylated	SPM202	SPM161,SPM180,SPM198,SPM212	H1
chr17	52377346	52377448	-0.5169925001442311	"Total Samples: 5
Methylated: 2 (0.400)
Unmethylated: 3 (0.600)
Proportion Difference: -0.200
Sample Weight (log2(total + 1)): 2.585
Final Score: -0.200 × 2.585 = -0.517
Interpretation: Moderately Unmethylated"	2	3	5	0.4	0.6	-0.19999999999999996	2.584962500721156	Moderately Unmethylated	SPM161,SPM180	SPM187,SPM202,SPM248	H1
chr20	1941378	1941445	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM202	H1
chr20	12408770	12408800	-0.6666666666666666	"Total Samples: 3
Methylated: 1 (0.333)
Unmethylated: 2 (0.667)
Proportion Difference: -0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: -0.333 × 2.000 = -0.667
Interpretation: Moderately Unmethylated"	1	2	3	0.3333333333333333	0.6666666666666666	-0.3333333333333333	2.0	Moderately Unmethylated	SPM248	SPM161,SPM198	H1
chr22	45128027	45128092	0.5169925001442311	"Total Samples: 5
Methylated: 3 (0.600)
Unmethylated: 2 (0.400)
Proportion Difference: 0.200
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.200 × 2.585 = 0.517
Interpretation: Moderately Methylated"	3	2	5	0.6	0.4	0.19999999999999996	2.584962500721156	Moderately Methylated	SPM187,SPM212,SPM248	SPM161,SPM231	H1
chrX	29761939	29762064	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM187,SPM232,SPM276-1	SPM202	H1
chrX	39597990	39598146	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM202	SPM187	H1
chrX	102615487	102615507	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM161,SPM202,SPM232	SPM187	H1
chrX	129815328	129815363	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM276-1	SPM187	H1
chrX	151881640	151881811	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM161,SPM202,SPM232	SPM187	H1
chr1	217368763	217368797	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM231	H2
chr2	6196516	6196566	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM248	SPM161	H2
chr2	71516614	71517027	0.5169925001442311	"Total Samples: 5
Methylated: 3 (0.600)
Unmethylated: 2 (0.400)
Proportion Difference: 0.200
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.200 × 2.585 = 0.517
Interpretation: Moderately Methylated"	3	2	5	0.6	0.4	0.19999999999999996	2.584962500721156	Moderately Methylated	SPM180,SPM198,SPM232	SPM161,SPM187	H2
chr2	152954751	152954856	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM212	SPM187	H2
chr3	70476858	70476879	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM212	H2
chr3	120229096	120229243	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM198	SPM231	H2
chr3	176877861	176877998	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM202	H2
chr4	16055574	16055688	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM187	H2
chr5	165031823	165031997	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM232	SPM161	H2
chr6	90322876	90322911	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM161,SPM180,SPM212	SPM202	H2
chr6	132691785	132691868	1.5509775004326938	"Total Samples: 5
Methylated: 4 (0.800)
Unmethylated: 1 (0.200)
Proportion Difference: 0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.600 × 2.585 = 1.551
Interpretation: Strongly Methylated"	4	1	5	0.8	0.2	0.6000000000000001	2.584962500721156	Strongly Methylated	SPM161,SPM180,SPM202,SPM248	SPM212	H2
chr6	143108195	143108394	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM198	SPM231	H2
chr7	55646815	55646828	1.5509775004326938	"Total Samples: 5
Methylated: 4 (0.800)
Unmethylated: 1 (0.200)
Proportion Difference: 0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.600 × 2.585 = 1.551
Interpretation: Strongly Methylated"	4	1	5	0.8	0.2	0.6000000000000001	2.584962500721156	Strongly Methylated	SPM161,SPM180,SPM231,SPM232	SPM206	H2
chr7	96338857	96338898	2.1428571428571423	"Total Samples: 7
Methylated: 6 (0.857)
Unmethylated: 1 (0.143)
Proportion Difference: 0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: 0.714 × 3.000 = 2.143
Interpretation: Strongly Methylated"	6	1	7	0.8571428571428571	0.14285714285714285	0.7142857142857142	3.0	Strongly Methylated	SPM161,SPM180,SPM187,SPM202,SPM206,SPM248	SPM198	H2
chr7	143134063	143134255	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM248	SPM187	H2
chr8	23487017	23487041	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM231	SPM161	H2
chr8	64119776	64120105	-0.6666666666666666	"Total Samples: 3
Methylated: 1 (0.333)
Unmethylated: 2 (0.667)
Proportion Difference: -0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: -0.333 × 2.000 = -0.667
Interpretation: Moderately Unmethylated"	1	2	3	0.3333333333333333	0.6666666666666666	-0.3333333333333333	2.0	Moderately Unmethylated	SPM248	SPM198,SPM212	H2
chr8	68663288	68663479	2.1428571428571423	"Total Samples: 7
Methylated: 6 (0.857)
Unmethylated: 1 (0.143)
Proportion Difference: 0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: 0.714 × 3.000 = 2.143
Interpretation: Strongly Methylated"	6	1	7	0.8571428571428571	0.14285714285714285	0.7142857142857142	3.0	Strongly Methylated	SPM180,SPM198,SPM212,SPM231,SPM232,SPM248	SPM161	H2
chr8	77601880	77601988	2.377443751081734	"Total Samples: 8
Methylated: 7 (0.875)
Unmethylated: 1 (0.125)
Proportion Difference: 0.750
Sample Weight (log2(total + 1)): 3.170
Final Score: 0.750 × 3.170 = 2.377
Interpretation: Strongly Methylated"	7	1	8	0.875	0.125	0.75	3.169925001442312	Strongly Methylated	SPM161,SPM180,SPM202,SPM206,SPM212,SPM231,SPM248	SPM232	H2
chr8	122872750	122872925	-1.871569948038403	"Total Samples: 6
Methylated: 1 (0.167)
Unmethylated: 5 (0.833)
Proportion Difference: -0.667
Sample Weight (log2(total + 1)): 2.807
Final Score: -0.667 × 2.807 = -1.872
Interpretation: Strongly Unmethylated"	1	5	6	0.16666666666666666	0.8333333333333334	-0.6666666666666667	2.807354922057604	Strongly Unmethylated	SPM187	SPM161,SPM206,SPM212,SPM231,SPM232	H2
chr8	136217759	136217813	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM232	SPM187	H2
